Sr.No.,Category,Name of Book,Author,Acc.No,Price ,quantity,availibility,Rack No.,accession_date,Classification/Section No.,Publisher ,Publisher Place,year,Pages,ISBN,Receipt No.,added_on
903,Education & Reference,"Udyonmukh Bhartiya Samaj,Sanskruti Aani Shikshan","Kulkarni,Vishwambar;Kaldate,Sudha",B.Ed/903,150,1,,21,,370/KUL,Shree Vidya Prakashan,Pune,1994,288,,,
904,Education & Reference,Teaching of History,"Aggarwal,J.C.",B.Ed/904,75,1,,21,,370/AGG,Vikas Publishing House Pvt.Lim.,New Delhi,1993,379,,,
905,Education & Reference,Principles of Education,"Venkateswaran,S.",B.Ed/905,45,1,,21,,370/VEN,Vikas Publishing House Pvt.Lim.,New Delhi,1993,166,,,
906,Education & Reference,Shikshan Skhetratil Vicharvant,"Pawar,N.G.",B.Ed/906,60,1,,21,,370.0910/PAW,Nutan Prakashan,Pune,1995,159,,,
907,Education & Reference,Advanced Educationla Psychology,"Kuppuswamy,B.",B.Ed/907,60,1,,21,,370.15/KUP,Sterling Publishers Pvt. Ltd.,New Delhi,1990,511,,,
908,Education & Reference,Advanced Educationla Psychology,"Kuppuswamy,B.",B.Ed/908,70,1,,21,,370.15/KUP,Sterling Publishers Pvt. Ltd.,New Delhi,1991,511,,,
909,Education & Reference,Teachers Effectivness In India,"Singh,Ram Gopal",B.Ed/909,200,1,,21,,372.6043/SIN,Chugh Publications ,Allahabad,1992,145,,,
910,Education & Reference,Indian Educational Review,Rashtriya Shaikshik Anusandhan Aur Prashikshan Parishad,B.Ed/910,,1,,21,,370/RAS,Rashtriya Shaikshik Anusandhan Aur Prashikshan Parishad,New Delhi,1991,,,,
911,Education & Reference,Madhyamik Va Uccha Madhyamik Shikshan Samasya,"Bhosale,Kunda",B.Ed/911,55,1,,21,,371.2/BHO,,Nashik,1994,159,,,
912,Education & Reference,Bhugolache Adhyapan,"Bapat,B.G.",B.Ed/912,2.5,1,,21,,910/BAP,Vinus Prakashan,Pune,1970,101,,,
913,Education & Reference,Marathiche Aashayaukta Adhyapan,"Gavas,Rajan",B.Ed/913,80,1,,21,,372.3946/GAV,Meheta Publishing House,Pune,1995,160,,,
914,Education & Reference,Shikshanik Mulyamapan,"Kadam,C.H.;Chaudhari",B.Ed/914,90,1,,21,,,,,1996,330,,,
915,Education & Reference,Shaikshanik Manasashatra,"Karandikar,Suresh",B.Ed/915,160,1,,21,,370.15/KAR,Phadake Prakashan,Kolhapur,2003,400,,,
916,Education & Reference,Subodh Shaikshanik Manasashatra,"Nankar,Prabhakar",B.Ed/916,60,1,,21,,370.15/NAN,Nutan Prakashan,Pune,1992,253,,,
917,Education & Reference,Teachers And Education In The Emerging Indian Society,"Bodas,D.A.",B.Ed/917,60,1,,21,,370.122/BOD,Prachi Prakashan,Bombay,1989,266,,,
918,Reference,Anatomy And Physiology For Nurses,"Pearce,Evelyn C.",B.Ed/918,75,1,,21,,370/PEA,Jaypee Brothers,New Delhi,1993,410,,,
919,Reference,Shalanche Vyavasthapan,"Upasani,N.K.;Gawade,P.L.",B.Ed/919,85,1,,21,,371.2/UPA,Amey Prakashan,Pune,1994,134,,,
920,Education & Reference,Shikshan Aani Bhartiya Samaj,"Karandikar,Suresh",B.Ed/920,70,1,,21,,370.95/KAR,Phadake Prakashan,Kolhapur,1995,181,,,
921,Education & Reference,Shaikshanik Prashna Aani Maharashtratil Shikshanvikas,"Bapat,B.G.",B.Ed/921,30,1,,21,,370.78/BAP,Vinus Prakashan,Pune,1973,393,,,
922,Education & Reference,Hindi Vyakaran,Kamataprasad Guru,B.Ed/922,115,1,,21,,370.78/KAM,Nagari Pracharini Sabha,Varanasi,1995,465,,,
923,Education & Reference,Sukshma Adhyapan ,"Vashikar,S.S.",B.Ed/923,20,1,,21,,370/VAS,Nutan Prakashan,Pune,1994,72,,,
924,Education & Reference,Adhyapanachi Pratimane,"Phadake,Vasanti",B.Ed/924,60,1,,21,,370/PHA,Nutan Prakashan,Pune,1994,167,,,
925,Education & Reference,Vidnyan Shikshan,"Rawat,D.S.",B.Ed/925,50,1,,21,,373/RAW,Vinod Pustak Mandir,Agra,,206,,,
926,Novel,Vyakti Aani Valli,"Deshpande,P.L.",B.Ed/926,70,1,,22,,891/DES,Mauja Prakashan,Mumbai,1996,213,,,
927,Drama,Chandra Jithe Ugavat Nahi,"Shirvadkar,V.V",B.Ed/927,70,1,,22,,891/SHI,Popular Prakashan,Mumbai,2000,72,,,
928,Biography,Mahatma Jyotiba phule,"Keer,Dhananjay",B.Ed/928,125,1,,22,,891/KEE,Popular Prakashan,Mumbai,1996,332,,,
929,Biography,George Muller,"Miller,Basil",B.Ed/929,,1,,22,,891/MIL,Jeevanvachan Prakashan,Pune,2001,120,,,
930,Poetry,Vakadi vaat,"Awhad,N.M.",B.Ed/930,65,1,,22,,891/AWH,Rajhansa Prakashan,Pune,2000,94,,,
931,Reference,Kamayani,Jayshankar Prasad,B.Ed/931,15,1,,22,,891.46/JAY,Vinod Pustak Mandir,Agra,,134,,,
932,Education & Reference,Bal Manovikruti Parichay,"Kale,Pramod",B.Ed/932,100,1,,22,,370.15/KAL,Nutan Prakashan,Pune,1995,216,,,
933,Education & Reference,Shikshan Samasya,"Bhosale,Kunda",B.Ed/933,55,1,,22,,371.2/BHO,,Nashik,1994,159,,,
934,Reference,Besic Vidnyan,"Walia,J.S.",B.Ed/934,14.8,1,,22,,501/WAL,Paul Publishers,Jalandhar,1979,236,,,
935,Education & Reference,Udyonmukh Bhartiya Samajatil shikshantadnya,"Pawar,N.G.",B.Ed/935,35,1,,22,,370.0910/PAW,Nutan Prakashan,Pune,1991,142,,,
936,Education & Reference,Essentials Of English Teaching,"Jain,R.K.",B.Ed/936,42,1,,22,,370/JAI,Vinod Pustak Mandir,Agra,1992,455,,,
937,Education & Reference,Loksankhya Shikshan,"Ahire,B.G.;Bondarde,K.M.",B.Ed/937,60,1,,22,,304.6/AHI,Nutan Prakashan,Pune,1994,168,,,
938,Reference,Pivotal Issues In Indian Education,"Kochhar,S.K.",B.Ed/938,150,1,,22,,370.15/KOC,Sterling Publishers Pvt. Ltd.,New Delhi,1989,344,,,
939,Education & Reference,Etihas Shikshan,"Tyagi,Gursaran Das",B.Ed/939,32,1,,22,,370/TYA,Vinod Pustak Mandir,Agra,1991,370,,,
940,Education & Reference,Shikshan Kshetratil Vicharvant,"Pawar,N.G.",B.Ed/940,60,1,,22,,370.0910/PAW,Nutan Prakashan,Pune,1995,159,,,
941,Education & Reference,Madhyayugin Shikshanacha Etihas,"Deshpande,K.N.;Mali,A.L.",B.Ed/941,17.5,1,,22,,370/DES,Nutan Prakashan,Pune,1985,122,,,
942,Education & Reference,Modern Science Teaching,"Sharma,R.C.",B.Ed/942,25,1,,22,,370/SHA,Dhanapat Rai & Sons,Delhi,1990,400,,,
943,Education & Reference,Shiksha ke Samajshastriya Aadhar,"Chaube,Vidhya",B.Ed/943,42,1,,22,,301/CHA,Vinod Pustak Mandir,Agra,,556,,,
944,Education & Reference,Madhyamik Shikshan Sanrachana va Karyapaddhati,"Shivanekar,L.M.",B.Ed/944,60,1,,22,,370/SHI,Nutan Prakashan,Pune,1992,216,,,
945,Education & Reference,Models of Teaching - Theory And Research ,"Siddiqui,Mujibul Hasan; Khan Mohd. Sharif",B.Ed/945,150,1,,22,,370/MUJ,Ashish Publishing House,New Delhi,1991,139,,,
946,Education & Reference,Comparative Education,"Chaube,S.P.;Chaube,A.",B.Ed/946,110,1,,22,,371.2/CHA,Vikas Publishing House Pvt.Lim.,New Delhi,1993,582,,,
947,Education & Reference,Shaikshanik Tatvadnyanachi Rupresha,"Akolkar,G.V.",B.Ed/947,75,1,,22,,370.01/AkO,Shree Vidya Prakashan,Pune,1990,328,,,
948,Education & Reference,Shastra Adhyapan Paddhati va Aashayaukata Adhyapan,"Bondarde,Kailas;Bondarde,Ashwin",B.Ed/948,175,1,,22,,507/BON,Nutan Prakashan,Pune,2002,360,,,
949,Education & Reference,Teaching Aspects of English Language,"Gurav,H.K.",B.Ed/949,75,1,,22,,428.6/GUR,Nutan Prakashan,Pune,2000,168,,,
950,Education & Reference,Etihas Adhyapan Paddhati ,"Tiwari,S.M.",B.Ed/950,60,1,,22,,372.3/TIW,Nutan Prakashan,Pune,1992,228,,,
951,Education & Reference,Shaikshanik Tantravidnyan,"Oak,Suman",B.Ed/951,150,1,,22,,371.2/OAK,Shree Vidya Prakashan,Pune,1995,256,,,
952,Education & Reference,Educational Psychology,"Mathur,S.S.",B.Ed/952,65,1,,22,,370.15/MAT,Vinod Pustak Mandir,Agra,1992,771,,,
953,Education & Reference,Shaikshanik Mulyamapan,"Dandekar,W.N.",B.Ed/953,60,1,,22,,507/DAN,Shree Vidya Prakashan,Pune,1989,259,,,
954,Education & Reference,School Prashasan Evam Prabandh,"Walia,J.S.",B.Ed/954,64.8,1,,22,,373/WAL,Paul Publishers,Jalandhar,1992,476,,,
955,Education & Reference,Adhyapan Paddhatichi Multatve,"Sohoni,G.P.",B.Ed/955,15,1,,22,,370.1/SOH,Nilkanth Prakashan,Pune,1973,176,,,
956,Education & Reference,Prayogatmak Manovidnyan,"Purohit,Aanand",B.Ed/956,30,1,,22,,370.1/PUR,Madhyapradesh Hindi Granth Academy,Bhopal,1998,180,,,
957,Education & Reference,A Sociological Approch To Indian Education,"Mathur,S.S.",B.Ed/957,50,1,,22,,301/MAT,Vinod Pustak Mandir,Agra,1992,472,,,
958,Education & Reference,"Shaley Vyavasthapan, Prashasan Va Sanghatan","Dunakhe,Arvind",B.Ed/958,75,1,,22,,373.2/DUN,Nutan Prakashan,Pune,1998,208,,,
959,Education & Reference,Shaley Vyavasthapan Va Prashasan ,"Dunakhe,Arvind;Parasnis Hemlata",B.Ed/959,,1,,22,,373.2/DUN,Nutan Prakashan,Pune,1992,85-214,,,
960,Education & Reference,Adhyayan Upapatti va Adhyapan,"Jagtap,H.N.",B.Ed/960,60,1,,22,,370/JAG,Nutan Prakashan,Pune,1992,160,,,
961,Education & Reference,School Management,"Walia,J.S.",B.Ed/961,64.8,1,,22,,371.95/WAL,Paul Publishers,Jalandhar,1993,375,,,
962,Education & Reference,Evaluation in Schools,"Dandekar,W.N.",B.Ed/962,50,1,,22,,370.15/DAN,Shri Vidya Prakashan,Poona,1986,382,,,
963,Education & Reference,"Udayonmukh Bhartiya Samaj,Sanskruti Aani Shikshan","Kulkarni,Vishwambar;Kaldate,Sudha",B.Ed/963,150,1,,22,,370/KUL,Shree Vidya Prakashan,Pune,1994,288,,,
964,Education & Reference,Vidnyanache Adhyapan,"Hakim,Prabhakar",B.Ed/964,75,1,,22,,373.2/HAK,Nutan Prakashan,Pune,1996,176,,,
965,Education & Reference,Curriculum And Evaluation ,"Joglekar,Rajni Arun",B.Ed/965,50,1,,22,,370.15/JOG,Prachi Prakashan,Bombay,1991,197,,,
966,Education & Reference,History And Problems of India Education,"Chaube,S.P.",B.Ed/966,90,1,,22,,370/CHA,Vinod Pustak Mandir,Agra,1994,412,,,
967,Education & Reference,praudh shiksha,"Bobe,B.S.",B.Ed/967,70,1,,23,,370/BOB,Nitya Nutan Prakashan,Pune,2009,138,,,
968,Education & Reference,Madhyamik Shikshan Sanrachana va Karyapaddhati,"Shivanekar,L.M.",B.Ed/968,110,1,,23,,373/SHI,Nutan Prakashan,Pune,2004,224,,,
969,Education & Reference,Adhyayavat Shaley Vyavasthapan Va Prashasan,"Kochewad,N.E.",B.Ed/969,100,1,,23,,371.2/KOC,Shree Prakashan ,Pune,2009,104,,,
970,Education & Reference,Aashayaukta Adhyapan Paddhati,"Sarpotdar,P.A;Bhosale,A.V.",B.Ed/970,50,1,,23,,370/SAR,Phadake Prakashan,Kolhapur,2005,92,,,
971,Education & Reference,Aashayaukta Adhyapan Paddhati,"Sarpotdar,P.A;Bhosale,A.V.",B.Ed/971,50,1,,23,,370/SAR,Phadake Prakashan,Kolhapur,2005,92,,,
972,Education & Reference,Aashayaukta Adhyapan Paddhati,"Sarpotdar,P.A;Bhosale,A.V.",B.Ed/972,50,1,,23,,370/SAR,Phadake Prakashan,Kolhapur,2005,92,,,
973,Education & Reference,Edicational Thought And Practice,"Taneja,Vidhya Ratna",B.Ed/973,40,1,,23,,373/TAN,Sterling Publishers Pvt. Ltd.,New Delhi,1990,351,,,
974,Education & Reference,Edicational Thought And Practice,"Taneja,Vidhya Ratna",B.Ed/974,40,1,,23,,373/TAN,Sterling Publishers Pvt. Ltd.,New Delhi,1990,351,,,
975,Education & Reference,Edicational Thought And Practice,"Taneja,Vidhya Ratna",B.Ed/975,40,1,,23,,373/TAN,Sterling Publishers Pvt. Ltd.,New Delhi,1990,351,,,
976,Education & Reference,Edicational Thought And Practice,"Taneja,Vidhya Ratna",B.Ed/976,40,1,,23,,373/TAN,Sterling Publishers Pvt. Ltd.,New Delhi,1990,351,,,
977,Education & Reference,Marathi : Adhyapan Va Adhyayan,"Patil,D.H.; Rane,S.R.",B.Ed/977,50,1,,23,,370.551/PAT,Suvichar Prakashan Mandal,Pune,1989,216,,,
978,Education & Reference,"Udayonmukh Bhartiya Samaj,Sanskruti Aani Shikshan","Kulkarni,Vishwambar;Kaldate,Sudha",B.Ed/978,150,1,,23,,370/KUL,Shree Vidya Prakashan,Pune,1994,288,,,
979,Education & Reference,Pragat Shaikshanik Samajshastra,"Dunakhe,Arvind; Deshpande,Leena",B.Ed/979,135,1,,23,,370/DUN,Nitya Nutan Prakashan,Pune,2007,336,,,
980,Education & Reference,Principles of Education,"Walia,J.S.",B.Ed/980,50.8,1,,23,,370.01/WAL,Paul Publishers,Jalandhar,,164,,,
981,Education & Reference,Bhartatil Shaikshanik Aayog Va Samitya,"Naravane,Minal",B.Ed/981,130,1,,23,,370/NAR,Nutan Prakashan,Pune,2005,306,,,
982,Education & Reference,Bhumikapalan Adhyapan Pratiman,"Patil,Geetanjali",B.Ed/982,20,1,,23,,370/PAA,Phadake Prakashan,Kolhapur,2001,27,,,
983,Education & Reference,Adhyapanachi Pratimane,"Sohoni,Chitra",B.Ed/983,100,1,,23,,370/SOH,Nitya Nutan Prakashan,Pune,2006,232,,,
984,Education & Reference,Anudeshan Pranali - 1,"Chavan,Kishor",B.Ed/984,80,1,,23,,370/CHA,Insite Prakashan,Nashik,2008,87,,,
985,Education & Reference,Shikshan Kala ,"Jayswal,Sitaram;Barakale,Ramdas",B.Ed/985,40.5,1,,23,,370/JAY,Prakashan Kendra,Lucknow,,373,,,
986,Education & Reference,Mulyadhishtit Shikshan,"Gawande,Eknath; Gawande,Amit",B.Ed/986,100,1,,23,,370/GAW,Nutan Prakashan,Pune,2005,161,,,
987,Education & Reference,Udayonmukh Bhartiya Samajatil Shikshak Va Shikshan,"Patil,Vinod Vishwasrao",B.Ed/987,225,1,,23,,370.15/PAT,Insite Prakashan,Nashik,2010,309,,,
988,Education & Reference,Bhartatil Shaikshanik Aayog Va Samitya,"Naravane,Minal",B.Ed/988,130,1,,23,,370/NAR,Nutan Prakashan,Pune,2005,306,,,
989,Education & Reference,Aajache Adhyapan,"Patil,Leela",B.Ed/989,200,1,,23,,370/PAT,Shree Vidya Prakashan,Pune,1996,234,,,
990,Education & Reference,Udyonmukh Bhartiya Samajatil Shikshan,"Karandikar,Suresh; Mangarulkar,Meena",B.Ed/990,160,1,,23,,370.19054/KAR,Phadake Prakashan,Kolhapur,2007,364,,,
991,Education & Reference,Adhyapakanchi Bandhilaki,"Deshpande,Vasant",B.Ed/991,40,1,,23,,,Nirali Prakashan,Pune,2007,134,,,
992,Education & Reference,Sampurna Majestic Tarkhadakar Bhashantar Pathmala,"Champanerkar,Manohar",B.Ed/992,75,1,,23,,,Majestic Prakashan,Mumbai,1993,75,,,
993,Education & Reference,History Of Indian Education,"Rawat,P.L.",B.Ed/993,80,1,,23,,907/RAW,Ram Prasad & Sons,Agra,,452,,,
994,Education & Reference,Mulyashikshan,"Karandikar,Suresh",B.Ed/994,125,1,,23,,370/KAR,Phadake Prakashan,Kolhapur,1997,271,,,
995,Education & Reference,Current Problems Of Indian Education(Made Easy),"Khanna,S.D.; Saxena,V.K.",B.Ed/995,40,1,,23,,370/KHA,Doaba House,Delhi,1993,319,,,
996,Education & Reference,Uchha Samajik Siddhant,"Nigam,Krishna ",B.Ed/996,18,1,,23,,370.01/NIG,Madhyapradesh Hindi Granth Academy,Bhopal,1984,263,,,
997,Education & Reference,Udayonmukh Bhartiya Samaj Shikshan Va Shikshak,"Gajare,R.V.; Mahant,Jyaoti",B.Ed/997,50,1,,23,,370.19054/GAJ,Nutan Prakashan,Pune,1996,134,,,
998,Education & Reference,Adhyayan Upapatti va Adhyapan,"Jagtap,H.N.",B.Ed/998,115,1,,23,,370/JAG,Nutan Prakashan,Pune,2005,256,,,
999,Education & Reference,Theory And Principles of Education,"Aggarwal,J.C.",B.Ed/999,85,1,,23,,371.141/AGG,Vikas Publishing House Pvt.Lim.,New Delhi,1994,414,,,
1000,Education & Reference,Journal Of Value Education,NCTE,B.Ed/1000,,1,,23,,,NCTE,New Delhi,2000,112,,,
1001,Education & Reference,The Indian Journal For Teacher Education,NCTE,B.Ed/1001,,1,,23,,370/NCT,NCTE,New Delhi,1998,123,,,
1002,Novel,Amrutvel,"Khandekar,V.S.",B.Ed/1002,150,1,,23,,891/KHA,Deshmukh & Company Pvt. Ltd.,Kolhapur,2000,155,,,
1003,Reference,Teaching Aids In Science,"Javlekar,V.D.",B.Ed/1003,25,1,,23,,507/JAV,Shakun Prakashan,Bombay,1994,,,,
1004,Reference,Bhavishyabhyas Aani Udyache Shikshan,"Bihari,Bansi Pandit",B.Ed/1004,15,1,,23,,370/PAM,Nutan Prakashan,Pune,1990,60,,,
1005,Education & Reference,Shikshan Kshetratil Vicharvant,"Pawar,N.G.",B.Ed/1005,60,1,,23,,370.09/PAW,Nutan Prakashan,Pune,1995,156,,,
1006,Education & Reference,Great Indian Educational Philosophers,"Chaube,S.P.",B.Ed/1006,25,1,,23,,370.15/CHA,Vinod Pustak Mandir,Agra,1987,248,,,
1007,Education & Reference,Shiksha Ke Siddhant Tatha Vidhiyan,"Walia,J.S.",B.Ed/1007  ,64.8,1,,23,,370.15/WAL,Paul Publishers,Jalandhar,1992,516,,,
1008,Education & Reference,School Administration And Supervision,"Mohanty,B.",B.Ed/1008,225,1,,23,,370/MHO,Deep & Deep Pub. Pvt. Lim.,New Delhi,1990,268,,,
1009,Education & Reference,Pragati B.Ed.- Adhunik Shikshan,Kulkarni,B.Ed/1009,70,1,,23,,370/KUL,Pragati Books Pvt. Ltd.,Pune,2008,,,,
1010,Education & Reference,Bhartiya Va Pachhatya Shikshantadnya,"Kulkarni,Shalini",B.Ed/1010,85,1,,23,,370.1/KUL,Nitya Nutan Prakashan,Pune,2009,213,,,
1011,Education & Reference,Elementary Education And Teacher Functions,"Aggarwal,J.C.",B.Ed/1011,50,1,,23,,370/AGG,Doaba House,Delhi,1990,270,,,
1012,Education & Reference,Kshetriya Vishamata Aur Samajik - Arthik Vikas,"Shukla,Narendra",B.Ed/1012,60,1,,23,,371/SHU,Madhyapradesh Hindi Granth Academy,Bhopal,2001,149,,,
1013,Education & Reference,Udyonmukh Bhartiya Samaj Shikshan Va Shikshak -1,"Gajare,R.V; Mahant,Jyoti",B.Ed/1013,50,1,,23,,301/GAJ,Nutan Prakashan,Pune,1996,134,,,
1014,Education & Reference,Madhyamik Shikshan,"Jadhav,Mohan; Bhosale,Aarti",B.Ed/1014,150,1,,23,,370/JAD,Phadake Prakashan,Kolhapur,2004,370,,,
1015,Education & Reference,Bharat Ka Aarthik Etihas,"Thakur,Agnes",B.Ed/1015,120,1,,23,,907/THA,Madhyapradesh Hindi Granth Academy,Bhopal,2003,382,,,
1016,Education & Reference,Vartman Shikshanatil Vicharpravah,"Nankar P.L.; Shirode,Sangita",B.Ed/1016,100,1,,23,,370/NAN,Nitya Nutan Prakashan ,Pune,2009,230,,,
1017,Education & Reference,Pragat Shaikshanik Samajshastra,"Dunakhe,Arvind; Deshpande,Leena",B.Ed/1017,130,1,,23,,301/DUN,Nitya Nutan Prakashan,Pune ,2006,336,,,
1018,Education & Reference,Udyonmukh Bhartiya Samajatil Shikshantadnya,"Pawar,N.G.",B.Ed/1018,35,1,,23,,370.01/PAW,Nutan Prakashan,Pune,1991,142,,,
1019,Education & Reference,Aajache Adhyapan,"Patil,Leela ",B.Ed/1019,200,1,,23,,370/PAT,Shree Vidya Prakashan,Pune,1696,234,,,
1020,Education & Reference,Family Environment School Performance,"Dhall,Taruna Choudhary",B.Ed/1020,90,1,,23,,370.76/DHA,Kalpaz Publication,Delhi,2007,168,,,
1021,Education & Reference,Udyonmukh Bhartiya Samajatil Shikshan Aani Shikshak,"Aher,Hira",B.Ed/1021,140,1,,23,,370.19054/AHE,Vidya Prakashan,Nagpur,1995,314,,,
1022,Education & Reference,Udyonmukh Bahrtiya Samajatil Shikshantadnya,"Pawar,N.G.",B.Ed/1022,95,1,,23,,370.01/PAW,Nitya Nutan Prakashan,Pune,2007,148,,,
1023,Education & Reference,Shikshanatil Mahiti Tantradnyan,"Ravikirti,Aallamprabhu",B.Ed/1023,180,1,,23,,601/RAV,Sagar Educational Enterprioses,Satara,2009,256,,,
1024,Education & Reference,Shikshan Kshetratil Vicharvant,"Pawar,N.G.",B.Ed/1024,110,1,,23,,370.09/PAW,Nutan Prakashan,Pune,2004,232,,,
1025,Education & Reference,Shaikshanik Tatvadnyan va Shaikshanik Samajshatra,"Kundale,Madhukar Balkrushna",B.Ed/1025,500,1,,23,,370.01/KUN,Shree Vidya Prakashan,Pune,2007,694,,,
1026,Education & Reference,Udyonmukh Bhartiya Samaj Shikshan Va Shikshak -2,"Gajare,R.V; Mahant,Jyoti",B.Ed/1026,30,1,,23,,301/GAJ,Nutan Prakashan,Pune,1991,134,,,
1027,Reference,Marathi Sahityatil Yayati,"Girdhari,B.V.",B.Ed/1027,50,1,,23,,891/GIR,Vibha Prakashan,Nashik,1989,118,,,
1028,Reference,Deepshikha,"Varma,Mahadevi",B.Ed/1028,23,1,,23,,,Lokbharti Prakashan,Allahabad,1998,147,,,
1029,Education & Reference,Ramayana,"Rajagopalachari,C.",B.Ed/1029,12,1,,23,,823/RAJ,Bhartiya Vidya Bhavan,Bombay,1958,320,,,
1030,Education & Reference,Education in India Today and Tomorrow,"Mukerji,S.N.",B.Ed/1030,40,1,,24,,370.01/MUK,Vinod Pustak Mandir,Agra,1992,178,,,
1031,Education & Reference,Shaikshanik Sanshodhan Paddhati,"Bhintade,V.R.",B.Ed/1031,60,1,,24,,370.01/BHI,Nutan Prakashan,Pune,1994,168,,,
1032,Education & Reference,Pragat Shaikshanik Tantravidnyan Aani Mahiti Tantravidnyan,"Jagtap,H.N.",B.Ed/1032,170,1,,24,,600/JAG,Nitya Nutan Prakshan,Pune,2005,376,,,
1033,Education & Reference,Shaley Shikshanik Adhishthan,"Virkar,Prabhakar;Virkar,Pratibha",B.Ed/1033,120,1,,24,,371.3/VIR,Pune Vidyarthi Gruha Prakashan,Pune,2004,328,,,
1034,Education & Reference,Shikshanache Samajshastra Ek Ruprekha,"Dunakhe,Arvind; Deshpande,Leena",B.Ed/1034,100,1,,24,,301/DUN,Nutan Prakashan,Pune,1997,200,,,
1035,Novel,Yugandhara,"Kshetramade,Sumati",B.Ed/1035,475,1,,24,,891/KSH,Minal prakashan,Kolhapur,1991,175,,,
1036,Education & Reference,Bhartiya Va Pachhatya Shikshantadnya,"Kulkarni,Shalini",B.Ed/1036,85,1,,24,,370.0910/KUL,Nitya Nutan Prakashan,Pune,2009,213,,,
1037,Education & Reference,Adhyayan Upapatti Va Adhyapan,"Jagatap,H.N.",B.Ed/1037,115,1,,24,,370/JAG,Nutan Prakashan,Pune,2005,256,,,
1038,Education & Reference,Shaley Shaikshanik Adhishthan -1,"Virkar,Prabhakar;Virkar,Pratibha",B.Ed/1038,140,1,,24,,371.3/VIR,Pune Vidyarthi Gruha Prakashan,Pune,2005,359,,,
1039,Reference,Samajik Parivartan Aur Shiksha,"Chudhari,Umrao Singh",B.Ed/1039,40,1,,24,,301/CHU,Madhyapradesh Hindi Granth Academy,Bhopal,2004,112,,,
1040,Education & Reference,Udyonmukh Bhartiya Samajache Shikshan Va Shikshak -2,"Virkar,Prabhakar;Virkar,Pratibha",B.Ed/1040,100,1,,24,,370/VIR,Pune Vidyarthi Gruha Prakashan,Pune,2004,247,,,
1041,Education & Reference,Udyonmukh Bhartiya Samaj Shikshan Va Shikshak -1,"Gajare,R.V; Mahant,Jyoti",B.Ed/1041,40,1,,24,,301/GAJ,Nutan Prakashan,Pune,1992,134,,,
1042,Reference,Parivartanshil Shikshan,"Patil,Leela",B.Ed/1042,70,1,,24,,370/PAT,Unmesh Prakashan,Pune,1995,192,,,
1043,Education & Reference,Philosophical And Sociological Foundations Of Education,"Chaube,S.P.;Chaube,A.",B.Ed/1043,50,1,,24,,370.01/CHA,Vinod Pustak Mandir,Agra,1994,484,,,
1044,Education & Reference,Population Education For Devloping Countries,"Salkar,K.R.",B.Ed/1044,125,1,,24,,371.15/SAL,Sterling Publishers Pvt. Ltd.,New Delhi,1989,224,,,
1045,Education & Reference,Technology Of Teaching,"Saxena,Swarup; Oberoi,S.C.",B.Ed/1045,65,1,,24,,600/SAX,Surya Publication,Meerut,1994,363,,,
1046,Education & Reference,Educational Technology," Yeole,Cima M.",B.Ed/1046,50,1,,24,,601/YEO,,Kolhapur,1991,133,,,
1047,Education & Reference,Models of Teaching ,"Joyce,Bruce;Weil,Marsha",B.Ed/1047,95,1,,24,,370/BRU,Prantice-Hall Of India,New Delhi,1992,492,,,
1048,Reference,Ujjwal Udyasathi Saksharta Abhiyan,"Vibhute,Bhalaba",B.Ed/1048,60,1,,24,,891.46/VIB,Meheta Publishing House,Pune,1997,90,,,
1049,Education & Reference,Shaikshanik Samasyancha Etihas,"Brubekar,John S.",B.Ed/1049,48,1,,24,,907/BRU,Shree Vidya Prakashan,Pune,1978,764,,,
1050,Education & Reference,Indian And Westen Educational Philosophers,"Chaube,S.",B.Ed/1050,80,1,,24,,370/CHA,Vinod Pustak Mandir,Agra,1995,354,,,
1051,Education & Reference,Psychological Foundations of Education,"Dandekar,W.N.",B.Ed/1051,58,1,,24,,370.15/DAN,Macmillan India Limited,Banglore,1988,494,,,
1052,Education & Reference,Shiksha Ke Siddhant Tatha Vidhiyan,"Walia,J.S.",B.Ed/1052,64.8,1,,24,,370.15/WAL,Paul Publishers,Jalandhar,1992,516,,,
1053,Education & Reference,Principles And Methods of Education,"Walia,J.S.",B.Ed/1053,75,1,,24,,370.01/WAL,Paul Publishers,Jalandhar,1992,528,,,
1054,Education & Reference,Madhyamik Shikshanachi Karyapaddhati,"Bhilegaonkar,Sadanand; Bhilegaonkar, Smita",B.Ed/1054,110,1,,24,,370/BHI,Nitya Nutan Prakashan,Pune,2008,266,,,
1055,Education & Reference,Udyonmukh Bahrtiya Samajatil Shikshantadnya,"Pawar,N.G.",B.Ed/1055,30,1,,24,,370.01/PAW, Nutan Prakashan,Pune,1990,142,,,
1056,Education & Reference,Pragat Shaikshnik Tatvadnyan,"Dunakhe,Arvind",B.Ed/1056,180,1,,24,,371.01/DUN,Nitya Nutan Prakashan,Pune,2005,322,,,
1057,Education & Reference,The Principles And Methods of Teaching,"Bhatia kamala; Bhatia,B.D.",B.Ed/1057,50,1,,24,,371/BHA,Doaba House,Delhi,1990,564,,,
1058,Education & Reference,Shaikshanik Va Shaikshanik Samajshastra,"Kundale,Madhukar Balkrushna",B.Ed/1058,500,1,,24,,370.01/KUN,Shree Vidya Prakashan,Pune,2003,694,,,
